297.91605,132.42358,304.57156,125.76806,293.479,127.986565,320.10114,130.20508,291.2605,132.42358,342.28622,172.35674,280.16797,172.35674,348.94174,227.81946,271.2939,225.60095,353.37875,278.84515,257.98288,272.18964,324.53815,274.40814,282.38647,274.40814,333.41217,354.27448,286.8235,352.05597,342.28622,420.82974,289.042,407.51868
297.7137,132.87022,304.35516,126.22877,293.2861,126.22877,319.8519,128.44258,291.07227,130.6564,341.99008,172.71893,280.00317,172.71893,348.63153,228.06436,271.14792,225.85054,353.05914,278.98215,257.86502,270.1269,324.27954,274.55453,282.217,274.55453,333.1348,352.03812,286.64465,349.8243,341.99008,420.66644,288.85846,407.38354
298.99255,133.71945,305.61465,127.097336,294.5778,127.097336,321.06625,129.30472,292.37042,131.51208,343.13998,173.45215,281.33356,173.45215,349.76212,228.63644,270.29672,226.42908,354.17685,281.61337,254.84511,270.5765,323.27365,272.7839,283.54095,274.99127,334.3105,354.45667,287.9557,352.2493,340.93262,422.8852,287.9557,407.4336
297.8944,132.99435,304.496,124.192215,293.49335,126.392746,319.89975,128.59328,291.29282,132.99435,341.9051,174.8045,280.29013,172.60397,350.70724,227.61732,271.488,225.4168,355.1083,280.43015,249.48267,265.0264,324.3008,276.02908,282.49066,276.02908,333.10297,353.04776,286.89175,350.84723,341.9051,419.06378,286.89175,405.8606
297.64584,131.2084,304.17575,124.678505,293.29257,126.85514,319.41217,129.03177,291.11594,131.2084,341.17853,174.74109,282.4094,172.56445,352.06168,226.9803,271.52625,224.80367,358.59158,277.04288,247.58327,257.45316,323.76544,274.86624,284.58603,272.6896,334.64862,353.22507,286.76266,348.8718,341.17853,420.7007,286.76266,407.6409
297.18756,130.8662,303.56284,124.490944,292.9374,126.61603,320.5635,128.74112,290.81232,130.8662,341.81436,173.3679,280.1869,173.3679,354.56488,226.49506,271.68655,222.24489,363.06522,268.99677,237.68518,254.12117,322.6886,273.24695,284.43707,273.24695,335.43912,354.00018,286.56213,349.75003,341.81436,419.87784,288.68723,407.12732
298.10498,131.7532,304.52838,125.32978,291.68155,127.47092,319.51636,129.61206,289.5404,131.7532,340.92776,172.43488,280.97583,172.43488,360.19803,225.96338,268.129,219.53996,370.90375,266.64505,231.72961,240.95135,323.79865,273.06848,285.25812,270.92734,334.50436,354.4318,287.39926,350.14954,340.92776,420.80716,287.39926,407.96033
298.45615,131.82838,304.91168,125.37284,294.15247,125.37284,319.9746,129.67654,289.84875,131.82838,341.4931,172.71347,281.24136,172.71347,363.01157,222.20596,264.0266,217.90227,384.53003,260.9392,216.68596,226.50964,322.12646,276.00214,285.54507,273.85028,335.03754,351.31677,287.69693,349.16492,341.4931,420.17587,287.69693,407.2648
297.2775,131.17686,303.86795,124.5864,292.88388,126.78322,321.4425,128.98004,290.68704,131.17686,343.4107,172.91641,281.89978,170.71959,367.5757,216.85278,259.93158,212.45915,389.54388,230.03369,213.7984,212.45915,323.63934,276.1669,284.0966,276.1669,334.6234,353.05554,286.2934,350.85873,343.4107,418.9601,288.49023,407.976
298.5577,132.69029,305.09933,126.14866,294.19662,126.14866,320.36316,128.32921,289.83554,130.50975,342.16858,169.75954,283.29388,169.75954,372.6962,211.18988,252.76628,204.64825,392.3211,189.38445,215.69704,195.92607,324.72424,276.6062,285.47446,274.42566,335.62695,352.92526,287.655,350.7447,342.16858,420.52213,287.655,407.43884
